Time,SpineBase_x,SpineBase_y,SpineBase_z,SpineMid_x,SpineMid_y,SpineMid_z,Neck_x,Neck_y,Neck_z,Head_x,Head_y,Head_z,ShoulderLeft_x,ShoulderLeft_y,ShoulderLeft_z,ElbowLeft_x,ElbowLeft_y,ElbowLeft_z,WristLeft_x,WristLeft_y,WristLeft_z,HandLeft_x,HandLeft_y,HandLeft_z,ShoulderRight_x,ShoulderRight_y,ShoulderRight_z,ElbowRight_x,ElbowRight_y,ElbowRight_z,WristRight_x,WristRight_y,WristRight_z,HandRight_x,HandRight_y,HandRight_z,HipLeft_x,HipLeft_y,HipLeft_z,KneeLeft_x,KneeLeft_y,KneeLeft_z,AnkleLeft_x,AnkleLeft_y,AnkleLeft_z,FootLeft_x,FootLeft_y,FootLeft_z,HipRight_x,HipRight_y,HipRight_z,KneeRight_x,KneeRight_y,KneeRight_z,AnkleRight_x,AnkleRight_y,AnkleRight_z,FootRight_x,FootRight_y,FootRight_z,SpineShoulder_x,SpineShoulder_y,SpineShoulder_z,HandTipLeft_x,HandTipLeft_y,HandTipLeft_z,ThumbLeft_x,ThumbLeft_y,ThumbLeft_z,HandTipRight_x,HandTipRight_y,HandTipRight_z,ThumbRight_x,ThumbRight_y,ThumbRight_z
0.6672,-0.1216,0.2278,3.4421,-0.1451,0.5489,3.4275,-0.1689,0.8608,3.4000,-0.1397,0.9942,3.3693,-0.3230,0.7239,3.3884,-0.3779,0.4500,3.4386,-0.3913,0.2103,3.3683,-0.3796,0.1330,3.3456,0.0173,0.7274,3.4373,0.0756,0.4672,3.4567,0.1148,0.2433,3.3649,0.0975,0.1670,3.3321,-0.1926,0.2243,3.3945,-0.1681,-0.2313,3.4346,-0.1230,-0.5743,3.4773,-0.1801,-0.6087,3.3185,-0.0482,0.2259,3.4088,0.0067,-0.2345,3.4108,0.0186,-0.5784,3.4796,0.0641,-0.6143,3.3158,-0.1630,0.7842,3.4094,-0.3577,0.0686,3.3439,-0.3455,0.1368,3.3300,0.0988,0.1059,3.3066,0.1336,0.1613,3.3064
0.7336,-0.1199,0.2277,3.4445,-0.1443,0.5468,3.4279,-0.1678,0.8535,3.3970,-0.1410,0.9748,3.3521,-0.3243,0.7240,3.3898,-0.3782,0.4502,3.4383,-0.3919,0.2103,3.3634,-0.3778,0.1364,3.3328,0.0166,0.7275,3.4386,0.0751,0.4699,3.4621,0.1163,0.2427,3.3672,0.0989,0.1667,3.3372,-0.1912,0.2235,3.3969,-0.1682,-0.2311,3.4348,-0.1202,-0.5727,3.4769,-0.1798,-0.6083,3.3196,-0.0458,0.2263,3.4116,0.0079,-0.2321,3.4060,0.0175,-0.5762,3.4784,0.0643,-0.6098,3.3144,-0.1620,0.7785,3.4075,-0.3615,0.0741,3.3217,-0.3437,0.1363,3.3119,0.0997,0.1066,3.3137,0.1314,0.1590,3.2954
0.8004,-0.1164,0.2254,3.4514,-0.1402,0.5415,3.4287,-0.1616,0.8447,3.3918,-0.1373,0.9540,3.3358,-0.3233,0.7236,3.3909,-0.3776,0.4500,3.4419,-0.3913,0.2144,3.3640,-0.3754,0.1467,3.3296,0.0171,0.7273,3.4383,0.0771,0.4693,3.4689,0.1210,0.2433,3.3764,0.1088,0.1650,3.3500,-0.1873,0.2209,3.4049,-0.1681,-0.2316,3.4350,-0.1202,-0.5735,3.4771,-0.1785,-0.6090,3.3191,-0.0427,0.2245,3.4173,0.0070,-0.2325,3.4089,0.0179,-0.5763,3.4799,0.0664,-0.6131,3.3176,-0.1565,0.7704,3.4039,-0.3620,0.0915,3.3075,-0.3361,0.1346,3.3089,0.1133,0.1076,3.3299,0.1435,0.1603,3.3231
0.8675,-0.1121,0.2236,3.4606,-0.1273,0.5405,3.4165,-0.1325,0.8555,3.3301,-0.1264,0.9520,3.2906,-0.3163,0.7233,3.3924,-0.3725,0.4541,3.4587,-0.3919,0.2425,3.3766,-0.3775,0.1614,3.3429,0.0232,0.7262,3.4321,0.0849,0.4654,3.4754,0.1262,0.2277,3.3819,0.1154,0.1574,3.3665,-0.1836,0.2205,3.4142,-0.1675,-0.2314,3.4352,-0.1201,-0.5743,3.4766,-0.1792,-0.6085,3.3186,-0.0379,0.2212,3.4264,-0.0004,-0.2321,3.4334,-0.0009,-0.5770,3.4835,0.0530,-0.6126,3.3230,-0.1295,0.7789,3.3518,-0.3610,0.1004,3.3215,-0.3436,0.1559,3.3132,0.1196,0.1053,3.3373,0.1411,0.1652,3.3350
0.9340,-0.1044,0.2202,3.4763,-0.1190,0.5383,3.4108,-0.1256,0.8484,3.3206,-0.1188,0.9309,3.2664,-0.3051,0.7204,3.3927,-0.3668,0.4531,3.4740,-0.3898,0.2382,3.4039,-0.3770,0.1622,3.3770,0.0362,0.7204,3.4208,0.0969,0.4571,3.4783,0.1321,0.2178,3.3891,0.1198,0.1429,3.3861,-0.1757,0.2167,3.4337,-0.1688,-0.2287,3.4316,-0.1200,-0.5748,3.4761,-0.1824,-0.6087,3.3197,-0.0307,0.2185,3.4384,-0.0039,-0.2294,3.4529,-0.0046,-0.5817,3.4875,0.0481,-0.6126,3.3249,-0.1238,0.7732,3.3454,-0.3606,0.0975,3.3610,-0.3464,0.1591,3.3529,0.1174,0.0764,3.3710,0.1560,0.1361,3.3679
1.0008,-0.1021,0.2145,3.4905,-0.1125,0.5295,3.4076,-0.1159,0.8308,3.3028,-0.1115,0.9073,3.2456,-0.2956,0.7176,3.3922,-0.3609,0.4472,3.4875,-0.3867,0.2288,3.4252,-0.3739,0.1541,3.4109,0.0455,0.7121,3.4087,0.1051,0.4550,3.4785,0.1412,0.1860,3.4044,0.1251,0.1303,3.3981,-0.1733,0.2103,3.4501,-0.1754,-0.2189,3.4187,-0.1200,-0.5759,3.4750,-0.1819,-0.6092,3.3181,-0.0284,0.2138,3.4504,0.0004,-0.2290,3.4730,-0.0033,-0.5794,3.4941,0.0509,-0.6123,3.3327,-0.1150,0.7571,3.3319,-0.3674,0.0940,3.3994,-0.3360,0.1355,3.3880,0.1234,0.0682,3.3866,0.1564,0.1233,3.3626
1.0668,-0.1009,0.2106,3.4992,-0.1105,0.5240,3.4060,-0.1158,0.8233,3.2940,-0.1130,0.8993,3.2368,-0.2932,0.7159,3.3917,-0.3587,0.4480,3.5018,-0.3818,0.2216,3.4569,-0.3746,0.1502,3.4544,0.0477,0.7090,3.4025,0.1118,0.4485,3.4761,0.1443,0.1812,3.4078,0.1358,0.1252,3.4039,-0.1720,0.2068,3.4596,-0.1773,-0.2179,3.4166,-0.1196,-0.5766,3.4745,-0.1815,-0.6089,3.3173,-0.0274,0.2094,3.4581,0.0039,-0.2294,3.4875,-0.0016,-0.5785,3.4998,0.0532,-0.6113,3.3385,-0.1144,0.7499,3.3249,-0.3652,0.0864,3.4416,-0.3383,0.1373,3.4347,0.1369,0.0583,3.3961,0.1728,0.1332,3.3861
1.1342,-0.1018,0.2075,3.5012,-0.1129,0.5156,3.3999,-0.1217,0.8120,3.2788,-0.1243,0.8838,3.2190,-0.2936,0.7143,3.3890,-0.3589,0.4503,3.5066,-0.3848,0.2252,3.4783,-0.3781,0.1449,3.4785,0.0449,0.7070,3.3931,0.1124,0.4486,3.4751,0.1509,0.1911,3.4099,0.1451,0.1304,3.3990,-0.1732,0.2039,3.4617,-0.1762,-0.2201,3.4202,-0.1181,-0.5786,3.4757,-0.1784,-0.6099,3.3172,-0.0281,0.2064,3.4600,0.0045,-0.2310,3.4875,-0.0041,-0.5818,3.4996,0.0512,-0.6135,3.3382,-0.1195,0.7391,3.3118,-0.3585,0.0787,3.4787,-0.3449,0.1482,3.4535,0.1381,0.0668,3.3985,0.1735,0.1360,3.3768
1.2008,-0.1080,0.2043,3.5035,-0.1212,0.5101,3.3984,-0.1336,0.8058,3.2766,-0.1393,0.8762,3.2173,-0.3020,0.7073,3.3831,-0.3633,0.4474,3.5098,-0.3915,0.2183,3.4945,-0.3829,0.1405,3.4894,0.0338,0.7071,3.3838,0.1114,0.4508,3.4757,0.1524,0.2037,3.4147,0.1444,0.1395,3.3934,-0.1815,0.1994,3.4631,-0.1768,-0.2250,3.4288,-0.1166,-0.5788,3.4815,-0.1777,-0.6104,3.3235,-0.0325,0.2043,3.4630,0.0100,-0.2181,3.4296,-0.0044,-0.5834,3.4981,0.0506,-0.6151,3.3365,-0.1306,0.7331,3.3096,-0.3691,0.0706,3.4857,-0.3545,0.1461,3.4684,0.1378,0.0759,3.3904,0.1743,0.1304,3.3706
1.2673,-0.1200,0.2006,3.5045,-0.1328,0.5036,3.3962,-0.1447,0.7974,3.2732,-0.1532,0.8682,3.2142,-0.3143,0.6980,3.3791,-0.3725,0.4390,3.5086,-0.3979,0.2075,3.4928,-0.3907,0.1255,3.4868,0.0262,0.7059,3.3809,0.1104,0.4524,3.4770,0.1529,0.2088,3.4134,0.1432,0.1486,3.3902,-0.1944,0.1956,3.4634,-0.1846,-0.2234,3.4384,-0.1180,-0.5755,3.4861,-0.1782,-0.6118,3.3292,-0.0430,0.2010,3.4648,0.0035,-0.2119,3.3604,0.0129,-0.5782,3.4671,0.0635,-0.6166,3.3060,-0.1419,0.7252,3.3065,-0.3713,0.0591,3.4983,-0.3617,0.1291,3.4676,0.1444,0.0876,3.3901,0.1719,0.1374,3.3714
